1||debito||59989118597484||2015/06/08||678||1407||45665445||
2||debito||54045465006460||2015/06/09||899||159||145665446||
3||credito||68218175932080||2015/06/10||87||51355||45665447||
4||debito||55605392540120||2015/06/11||588||1803||45665448||
5||credito||60730630382257||2015/06/12||334||1391||45665449||
6||debito||67259810229614||2015/06/13||415||1439||45665450||
7||debito||70493767623012||2015/06/14||821||1588||45665451||
8||credito||60236411497755||2015/06/15||731||1174||45665452||
9||debito||68464561489820||2015/06/16||694||1673||45665453||
10||credito||72811387524954||2015/06/17||638||1350||45665454||
11||debito||71565213230546||2015/06/18||859||1819||45665455||
12||credito||54595194211406||2015/06/19||845||1412||45665456||
13||debito||56049867810532||2015/06/20||299||1637||45665457||
14||debito||64040229192366||2015/06/21||569||1566||45665458||
15||credito||53958161040781||2015/06/22||357||1821||45665459||
16||debito||45296259495024||2015/06/23||514||1169||45665460||
17||credito||54579427097122||2015/06/24||465||1723||45665461||
18||debito||55398130749901||2015/06/25||348||1417||45665462||
19||credito||66946970694968||2015/06/26||598||1380||45665463||
